Detectado,Acuracia
person, 0.7622
person, 0.7583
person, 0.6955
person, 0.6623
person, 0.6422
person, 0.6320
person, 0.5597
person, 0.5081
person, 0.9724
person, 0.9619
person, 0.9556
person, 0.9437
person, 0.9437
person, 0.9285
person, 0.9272
person, 0.8680
person, 0.8558
person, 0.8501
person, 0.8494
person, 0.8338
person, 0.8239
person, 0.8173
person, 0.7107
person, 0.6321
person, 0.6281
person, 0.5994
person, 0.5893
person, 0.5702
person, 0.5557
person, 0.5300
person, 0.5095
person, 0.9497
person, 0.9493
person, 0.9331
person, 0.9280
person, 0.9259
person, 0.9050
person, 0.9036
person, 0.8702
person, 0.8477
person, 0.8475
person, 0.8147
person, 0.8145
person, 0.8121
person, 0.7884
person, 0.7758
person, 0.6760
person, 0.6425
person, 0.6401
person, 0.6152
person, 0.5859
person, 0.5803
person, 0.5588
person, 0.5518
person, 0.9344
person, 0.9158
person, 0.9034
person, 0.8869
person, 0.8715
person, 0.8665
person, 0.8612
person, 0.8516
person, 0.8387
person, 0.8341
person, 0.7964
person, 0.7961
person, 0.7628
person, 0.7408
person, 0.7010
person, 0.6704
person, 0.6695
person, 0.6562
person, 0.6487
person, 0.5910
person, 0.5909
person, 0.5877
person, 0.5503
person, 0.9537
person, 0.9307
person, 0.9087
person, 0.9077
person, 0.8976
person, 0.8830
person, 0.8778
person, 0.8537
person, 0.8534
person, 0.8531
person, 0.8145
person, 0.8010
person, 0.7742
person, 0.7214
person, 0.6985
person, 0.6872
person, 0.6779
person, 0.6499
person, 0.6437
person, 0.6364
person, 0.6256
person, 0.6057
person, 0.5764
person, 0.5680
person, 0.9612
person, 0.9606
person, 0.9483
person, 0.9403
person, 0.9308
person, 0.9101
person, 0.9029
person, 0.8944
person, 0.8704
person, 0.8415
person, 0.8186
person, 0.8079
person, 0.7972
person, 0.7903
person, 0.7772
person, 0.7316
person, 0.7226
person, 0.6946
person, 0.6867
person, 0.6630
person, 0.6512
person, 0.6256
person, 0.6165
person, 0.5716
person, 0.5649
person, 0.9660
person, 0.9587
person, 0.9584
person, 0.9507
person, 0.9313
person, 0.9216
person, 0.9162
person, 0.8903
person, 0.8748
person, 0.8704
person, 0.8260
person, 0.7970
person, 0.7445
person, 0.7383
person, 0.7215
person, 0.7067
person, 0.6776
person, 0.6649
person, 0.6559
person, 0.6469
person, 0.6297
person, 0.6262
person, 0.6048
person, 0.6026
person, 0.5204
person, 0.9695
person, 0.9647
person, 0.9562
person, 0.9544
person, 0.9389
person, 0.9273
person, 0.9076
person, 0.8564
person, 0.8340
person, 0.8331
person, 0.8278
person, 0.8257
person, 0.8101
person, 0.7664
person, 0.7660
person, 0.7625
person, 0.7367
person, 0.7053
person, 0.6864
person, 0.6609
person, 0.6171
person, 0.6004
person, 0.5752
person, 0.5054
person, 0.9691
person, 0.9615
person, 0.9560
person, 0.9441
person, 0.9413
person, 0.9410
person, 0.9174
person, 0.9099
person, 0.8978
person, 0.8777
person, 0.8237
person, 0.7961
person, 0.7954
person, 0.7797
person, 0.7779
person, 0.7767
person, 0.7491
person, 0.7293
person, 0.6985
person, 0.6882
person, 0.6366
person, 0.5637
person, 0.5537
person, 0.9788
person, 0.9702
person, 0.9657
person, 0.9484
person, 0.9336
person, 0.9212
person, 0.9177
person, 0.9167
person, 0.8655
person, 0.8610
person, 0.8584
person, 0.8339
person, 0.8029
person, 0.7795
person, 0.7699
person, 0.7651
person, 0.7564
person, 0.7392
person, 0.7330
person, 0.5759
person, 0.5471
person, 0.5342
person, 0.5207
person, 0.9807
person, 0.9730
person, 0.9717
person, 0.9707
person, 0.9449
person, 0.9409
person, 0.9338
person, 0.9328
person, 0.9176
person, 0.8890
person, 0.8683
person, 0.8442
person, 0.8381
person, 0.8189
person, 0.8028
person, 0.7948
person, 0.7695
person, 0.7659
person, 0.6472
person, 0.6444
person, 0.5687
