Detectado,Acuracia
car, 0.7753
car, 0.7042
car, 0.6651
car, 0.9368
car, 0.9138
car, 0.8265
car, 0.7689
car, 0.7120
car, 0.6688
car, 0.9809
car, 0.9348
car, 0.9186
car, 0.8945
car, 0.8727
car, 0.7796
car, 0.9811
car, 0.9341
car, 0.9168
car, 0.8940
car, 0.8737
car, 0.7775
car, 0.9808
car, 0.9337
car, 0.9169
car, 0.8948
car, 0.8742
car, 0.7695
car, 0.9783
car, 0.9699
car, 0.9280
car, 0.9160
car, 0.8841
car, 0.8366
car, 0.7396
car, 0.9794
car, 0.9696
car, 0.9265
car, 0.9135
car, 0.8861
car, 0.8391
car, 0.7529
car, 0.9792
car, 0.9703
car, 0.9298
car, 0.9132
car, 0.8841
car, 0.8390
car, 0.7615
car, 0.9787
car, 0.9713
car, 0.9303
car, 0.9152
car, 0.8843
car, 0.8374
car, 0.7461
car, 0.9882
car, 0.9858
car, 0.9568
car, 0.9009
car, 0.8798
car, 0.8791
car, 0.8571
car, 0.5009
car, 0.9880
car, 0.9862
car, 0.9569
car, 0.8996
car, 0.8830
car, 0.8767
car, 0.8597
car, 0.5073
car, 0.9881
car, 0.9861
car, 0.9572
car, 0.8990
car, 0.8819
car, 0.8774
car, 0.8631
car, 0.5050
car, 0.9945
car, 0.9640
car, 0.9416
car, 0.9327
car, 0.9308
car, 0.9300
car, 0.8396
car, 0.8203
car, 0.9946
car, 0.9650
car, 0.9430
car, 0.9402
car, 0.9328
car, 0.9327
car, 0.8482
car, 0.8263
car, 0.9944
car, 0.9660
car, 0.9438
car, 0.9436
car, 0.9336
car, 0.9305
car, 0.8424
car, 0.8254
car, 0.9842
car, 0.9833
car, 0.9693
car, 0.9611
car, 0.9508
car, 0.9333
car, 0.8833
car, 0.8715
car, 0.9842
car, 0.9820
car, 0.9672
car, 0.9608
car, 0.9511
car, 0.9396
car, 0.8911
car, 0.8726
car, 0.9947
car, 0.9650
car, 0.9513
car, 0.9355
car, 0.9242
car, 0.8993
car, 0.8992
car, 0.8804
person, 0.6149
car, 0.9945
car, 0.9634
car, 0.9510
car, 0.9334
car, 0.9233
car, 0.9010
car, 0.8972
car, 0.8844
person, 0.6212
car, 0.9957
car, 0.9760
car, 0.9418
car, 0.9412
car, 0.9406
car, 0.8715
car, 0.8574
car, 0.8247
person, 0.5210
car, 0.9956
car, 0.9743
car, 0.9420
car, 0.9416
car, 0.9411
car, 0.8619
car, 0.8584
car, 0.8328
person, 0.5172
car, 0.9953
car, 0.9741
car, 0.9441
car, 0.9433
car, 0.9418
